"statement_id";"time";"person";"organization";"concept";"agreement";"start_position";"stop_position";"text";"coder";"document_id";"document_title";"document_author";"document_source";"document_section";"document_type"
165;2021-01-20 15:41:55;"Irene Neumann-Hartberger";"övp";"Duale Ausbildung ist für Jugendliche und Erwachsene im 2. Bildungsweg wichtig um auf neue Erfordernisse in Land- und Forstwirtschaft eingehen zu können";1;1330;1706;"Die Lehrlingsausbildung, um die es in dieser Novelle geht, erfolgt praxisorientiert im Be­trieb, kombiniert mit fachtheoretischer Ausbildung in der Berufsschule – sowohl für Ju­gendliche als auch in der Erwachsenenbildung im zweiten Bildungsweg. Durch dieses duale Ausbildungssystem kann direkt und rasch auf die Erfordernisse in der Land- und Forstwirtschaft reagiert werden.";4;1237;"2021_79NRSITZ_Irene_Neumann-Hartberger_ÖVP_9239.txt";"";"";"";""
173;2021-02-24 15:41:55;"Cornelia Ecker";"spö";"waldfonds sollte Gerechter verteilt werden und transparent sein wer wie viel Geld erhält";1;2139;2623;"Am eindrucks­vollsten wird diese Verteilungspolitik beim neu geschaffenen Waldfonds ersichtlich. Es gibt keine Geldmittel, die speziell KleinwaldbesitzerInnen vorbehalten sind, es gibt keine Transparenz, wer wie viele Gelder erhält – und Frau Ministerin, es gibt auch gar keine parlamentarische Kontrolle, nur ist das ja offensichtlich nicht erwünscht. (Bundesminis­terin Köstinger: Doch!) Werte Kolleginnen und Kollegen, wir wollen Transparenz – gerade, wenn es um Steuergelder geht.";4;1240;"2021_85NRSITZ_Cornelia_Ecker_SPÖ_8931.txt";"";"";"";""
174;2021-02-24 15:41:55;"Elisabeth Köstinger";"övp";"waldfonds ist gute Maßnahme um Waldbauern zu fördern, da Borkenkäfer in ganz Europa für Preiseinbruch verursacht haben";1;5522;6655;"Bei den Forstbetrieben mussten Einkommensrückgänge in der Höhe von 10 Prozent festgestellt werden. Wir haben ein großes Niederschlagsdefizit bei sehr langen Hitze­perioden. Das betrifft uns nahezu in ganz Österreich, ganz speziell aber in Niederöster­reich und Oberösterreich. Das hat einen erhöhten Anfall von Borkenkäferschadholz mit sich gebracht und entsprechend auch einen Rückgang des Holzpreises. Die Situation am Holzmarkt ist nicht nur in Österreich eine sehr schwierige, sondern in ganz Mittel­europa. Die Schadholzsituation ist vor allem auch in der Slowakei, in Tschechien und in Deutschland enorm, und das drückt massiv die Preise. Diesbezüglich haben wir bereits Lösungen in Umsetzung, die den sehr stark betroffenen Waldbauern wirklich massive Unterstützung bringen und ihnen auch unter die Arme greifen werden. Wir stellen insgesamt 350 Millionen Euro zur Verfügung. Das ist das größte Investitionspaket in den österreichischen Wald in der Geschichte der Zweiten Republik, und darauf können wir, glaube ich, sehr stolz sein. Dafür darf ich mich noch einmal sehr herzlich beim Parlament für die Unterstützung bedanken.";4;1242;"2021_85NRSITZ_Elisabeth_Köstinger_8934.txt";"";"";"";""
176;2021-02-24 15:41:55;"Elisabeth Köstinger";"övp";"Aufforstung ist wichtig für nachhaltige Forstwirtschaft und Mittel gegen Klimawandel";1;6711;7156;"Diese Maßnahmen sind seit 1. Feber für die bäuerlichen Familienbetriebe zu bean­tragen, und wir werden damit jetzt sehr schnell in die Umsetzung gehen, denn jeder Tag, an dem wir aufforsten, ist ein guter Tag, weil er die Grundlage für die nächsten und übernächsten Generationen schafft, damit auch diese aus dem Wald ein Einkommen erwirtschaften können. Der Wald ist die wichtigste Klimaanlage in Österreich – auch das darf man nicht vergessen.";4;1242;"2021_85NRSITZ_Elisabeth_Köstinger_8934.txt";"";"";"";""
177;2021-02-24 15:41:55;"Georg Strasser";"övp";"waldfonds bringt Geld in Betriebe und in absatztfördernde Maßnahmen (Bauen mit Holz, Holz als Energiequelle) und ist zukunftswirkende Maßnahme";1;2086;2496;"Erster Bereich: Waldfonds. – Danke, geschätzte Frau Bundesministerin! Da ist etwas gelungen (Beifall bei der ÖVP), da kommt Geld in die Betriebe, da kommt Geld in absatzfördernde Maßnahmen: Holz als Baustoff, Holz als Energiequelle. Letztendlich sind wir froh darüber, dass auch am Holzmarkt wieder ein preislicher Aufwind zu spüren ist. Es wird in die Zukunft investiert und das werden wir auch in Zukunft tun";4;1243;"2021_85NRSITZ_Georg_Strasser_ÖVP_8930.txt";"";"";"";""
179;2021-02-24 15:41:55;"Klaus Köchl";"spö";"waldfonds sollte Gerechter verteilt werden und transparent sein wer wie viel Geld erhält";1;802;1232;"Ihr zeigt das auch beim Waldfondsgesetz. Es ist zu befürworten, 350 Millionen Euro in drei Jahren, der Beschluss war im Sommer 2020. Was mich da so stört, Frau Minister, ist Folgendes: Warum bringen Sie dazu im Parlament keinen Bericht? Warum sagen Sie nicht, wer das Geld kriegt? Es ist ja bei der ÖVP so, dass wieder die großen Betriebe bis 200 000 Euro kriegen. Warum macht ihr das so? Warum fördert ihr nicht die Klein­bauern?";4;1245;"2021_85NRSITZ_Klaus_Köchl_SPÖ_8936.txt";"";"";"";""
181;2021-03-24 15:41:55;"Irene Neumann-Hartberger";"övp";"COVID-19 Wiederaufbau sollte in Agenda 2030 Ziele einfließen";1;510;1191;"Ich möchte mich einem Ziel widmen, nämlich Ziel 15, einem kleinen Ziel, bei dem es um die nachhaltige Bewirtschaftung geht und darum, die Nutzung der Wälder und die Ge­währleistung der Artenvielfalt hervorzuheben. In den Bericht sind natürlich die Folgen, Erkenntnisse und Auswirkungen der Covid-Krise noch nicht eingeflossen. Diese müssen aber, denke ich, künftig unbedingt in der Umsetzung der Agenda 2030 berücksichtigt werden. Landökosysteme zu schützen, wiederherzustellen und ihre nachhaltige Nutzung zu fördern, Wälder nachhaltig zu bewirtschaften und dem Verlust der biologischen Viel­falt entgegenzuwirken, ist für österreichische Bäuerinnen und Bauern selbstverständlich.";4;1249;"2021_89NRSITZ_Irene_Neumann-Hartberger_ÖVP_8702.txt";"";"";"";""
182;2021-03-24 15:41:55;"Irene Neumann-Hartberger";"övp";"waldfonds hilft bei COVID-19 Wiederaufbau und fördert Biodiversität";1;1192;1947;"Fast die Hälfte der Fläche Österreichs ist mit Wald bedeckt. Wald ist nicht nur Wirt­schaftsraum, Wald ist auch Erholungsraum und Wald ist die natürliche Klimaanlage un­seres Landes. Österreichs Wälder entwickeln sich Gott sei Dank positiv, auch das geht aus dem Bericht hervor – jedenfalls dort, wo nicht gerade der Borkenkäfer wütet und das Seine zu einer nicht so guten Entwicklung beiträgt. Gott sei Dank haben wir voriges Jahr den Waldfonds beschlossen, der eine Unterstützung für den Wiederaufbau dieser Re­gionen mit Vielfalt garantiert. Immerhin wächst in Österreich jede Sekunde ein Kubikmeter Holz nach, und der wie­derum bindet 250 Kilogramm Kohlenstoff oder 1 000 Kilogramm CO2. Auch diese Klima­leistung muss der Gesellschaft bewusst werden. ";4;1249;"2021_89NRSITZ_Irene_Neumann-Hartberger_ÖVP_8702.txt";"";"";"";""
183;2021-03-24 15:41:55;"Irene Neumann-Hartberger";"övp";"ÖVP setzt sich mit Initiative Vielfalt für Balance aus Produktion und Biodiversität ein";1;1947;2373;"Im Bericht verweist man darauf, dass mit der Initiative Vielfalt leben bereits über 50 Schutzprojekte für eine nachhaltige Ver­besserung des Lebensraums von über 500 als bedroht eingestuften Pflanzen- und Tier­arten erhalten werden. Die heimischen Bäuerinnen und Bauern sorgen mit ihrer Bewirtschaftungsweise für Viel­falt in der Landschaft und im Wald. Wir bemühen uns um eine Balance zwischen Pro­duktion und Biodiversität. ";4;1249;"2021_89NRSITZ_Irene_Neumann-Hartberger_ÖVP_8702.txt";"";"";"";""
185;2021-03-24 15:41:55;"Irene Neumann-Hartberger";"övp";"Heimische Holznutzung bringt im Vergleich zu Außernutzungsstellung CO2 Einsparungen und ist nachhaltig und solidarisch";1;2563;3213;"Die CO2-neutrale Baustoffnutzung, nämlich Holz als Energieträger, ist klimabilanzpositi­ver und viel besser gestellt als energieintensive Materialien. Die Außernutzungsstellung von Wald, die so oft gefordert wird, ist in der Klimabilanz lediglich ein Nullsummenspiel. So deutlich wie schon lange nicht zeigt sich auch, wie wichtig solidarisches Handeln ist, gerade beim Einkauf, und das nicht nur bei Lebensmitteln, das ist eine wichtige Unter­stützung. Die Solidarität wird nicht nur in der Krise der Schlüssel sein, sondern auch, um globale Ziele für künftige Generationen umzusetzen – das zeigt uns dieser breit gefä­cherte Bericht ganz eindeutig.";4;1249;"2021_89NRSITZ_Irene_Neumann-Hartberger_ÖVP_8702.txt";"";"";"";""
