Document;Topic;Name;Top_n_words;Probability;Representative_document
verkauf von österreichischem holz an china und usa führt in zukunft zu handel mit illegalem holz in österreich;9;9_holz_österreichisches_vorübergehend_gestoppt;holz - österreichisches - vorübergehend - gestoppt - erholung - holzimporte - billig - bevorzugt - beschleunigen - österreichischer;1.0;True
erhöhter strafrahmen und bessere vernetzung der kontrollbehörden im holzhandelsüberwachungsgesetz verhindert illegalen holzhandel;5;5_holzhandelsüberwachungsgesetzes_holzhandel_novelle_kontrollen;holzhandelsüberwachungsgesetzes - holzhandel - novelle - kontrollen - strafen - strengere - illegalen - braucht - illegal - kontrollbehörden;1.0;True
es braucht weitere gesetzesänderungen um kontrollbehörden transparenz im holzhandel zu ermöglichen;5;5_holzhandelsüberwachungsgesetzes_holzhandel_novelle_kontrollen;holzhandelsüberwachungsgesetzes - holzhandel - novelle - kontrollen - strafen - strengere - illegalen - braucht - illegal - kontrollbehörden;1.0;True
niedrige rundholzpreise schaden forstwirten während sägeindustrie mit hohen schnittholzpreisen viel verdient ;4;4_tourismus_regionen_landwirtschaft_schaden;tourismus - regionen - landwirtschaft - schaden - enthalten - ländlichen - gesamtbudget - landwirtschaftlichen - gebieten - untergliederung;1.0;True
obwohl österreich zu  aus wald besteht kann der eigenbedarf auch an bauholz nicht immer gedeckt werden;2;2_österreich_österreichischen_wettbewerbsfähigkeit_forstwirtschaft;österreich - österreichischen - wettbewerbsfähigkeit - forstwirtschaft - österreichs - sichern - notwendig - schadet - international - masterplan;1.0;True
strengeres holzhandelsüberwachungsgesetz schützt nachhaltige forstwirtschaft in österreich;2;2_österreich_österreichischen_wettbewerbsfähigkeit_forstwirtschaft;österreich - österreichischen - wettbewerbsfähigkeit - forstwirtschaft - österreichs - sichern - notwendig - schadet - international - masterplan;1.0;True
waldfonds sollte gesunderhaltung und zukunftsgestaltung des waldes dienen;0;0_waldfonds_waldfondgesetz_forstwirtschaft_maßnahmen;waldfonds - waldfondgesetz - forstwirtschaft - maßnahmen - regierung - covid - arbeitskräfte - land - bringt - forschung;1.0;True
digitalisierungsmaßnahmen fördern regionale entwicklung und verhindert abwanderung;7;7_digitalisierung_innovation_klimakrise_auswirkungen;digitalisierung - innovation - klimakrise - auswirkungen - abwanderung - lizenzen - forschungsmaßnahmen - energiekrise - bereichen - ökologisierung;1.0;True
klimawandel setzt forstwirtschaft unter druck;3;3_klimawandel_wald_bewirtschafteter_forstwirtschaft;klimawandel - wald - bewirtschafteter - forstwirtschaft - klimaschutz - trägt - außernutzungsstellungen - setzt - mehr - erreichen;1.0;True
energie aus biomasse muss weiterhin erneuerbar sein damit niedrige holzpreise durch klimawandel borkenkäfer ausgeglichen werden;1;1_biomasse_energie_schadholz_genutzt;biomasse - energie - schadholz - genutzt - erneuerbare - holz - nutzung - nachhaltig - österreich - holzgas;1.0;True
die umgestaltung des vekehrssektors ist eine der wichtigsten aktionen für das klimaziel;7;7_digitalisierung_innovation_klimakrise_auswirkungen;digitalisierung - innovation - klimakrise - auswirkungen - abwanderung - lizenzen - forschungsmaßnahmen - energiekrise - bereichen - ökologisierung;1.0;True
das erneuerbarenausbaugesetz ist eine prioritäre aufgabe der bundesregierung;1;1_biomasse_energie_schadholz_genutzt;biomasse - energie - schadholz - genutzt - erneuerbare - holz - nutzung - nachhaltig - österreich - holzgas;1.0;True
